layerCenter,GroupCount,mean_temp
25,1659,17.6798915035255
75,1535,15.7524097703567
125,1532,14.2492996139875
175,1517,13.2965300012436
225,1518,12.4801192315043
275,1518,11.7775428141216
325,1490,11.1637476447445
375,1404,10.5294800728475
425,1384,9.99584392488347
475,1379,9.53223278005543
525,1374,9.14807861167097
575,1373,8.77588129182497
625,1372,8.43588264655789
675,1337,8.07331114450139
725,1351,7.66993856853595
775,1345,7.27025278687034
825,1346,6.87433729306373
875,1343,6.46833730542828
925,1351,6.08835529345746
975,1343,5.71957558016234
1025,1344,5.36752232235102
1075,1338,5.04371674588265
1125,1346,4.73518870985703
1175,1341,4.44309172498744
1225,1319,4.20527217133286
1275,1316,3.98478495639871
1325,1325,3.78001509666443
1375,1305,3.60604674350256
1425,1322,3.44189183145716
1475,1311,3.29392448424566
1525,1306,3.1602894319692
1575,1300,3.04526307894633
1625,1300,2.93400461820456
1675,1295,2.83241158212934
1725,1299,2.74791301205307
1775,1296,2.66905478728406
1825,1301,2.6038378124325
1875,1272,2.54447326832597
1925,1289,2.48642668527998
1975,1143,2.44005774471286
2025,88,2.42534089901231
